date,forecast
2025-11-30,91.97987920202327
2025-12-31,91.706476693761
2026-01-31,91.43307418549874
2026-02-28,91.15967167723647
2026-03-31,90.88626916897421
2026-04-30,90.61286666071194
2026-05-31,90.33946415244968
2026-06-30,90.06606164418743
2026-07-31,89.79265913592516
2026-08-31,89.5192566276629
2026-09-30,89.24585411940063
2026-10-31,88.97245161113837
2026-11-30,88.6990491028761
2026-12-31,88.42564659461384
2027-01-31,88.15224408635157
2027-02-28,87.87884157808931
2027-03-31,87.60543906982704
2027-04-30,87.33203656156478
2027-05-31,87.05863405330251
2027-06-30,86.78523154504025
2027-07-31,86.51182903677798
2027-08-31,86.23842652851572
2027-09-30,85.96502402025345
2027-10-31,85.6916215119912
2027-11-30,85.41821900372894
2027-12-31,85.14481649546667
2028-01-31,84.8714139872044
2028-02-29,84.59801147894214
2028-03-31,84.32460897067988
2028-04-30,84.05120646241761
2028-05-31,83.77780395415535
2028-06-30,83.50440144589308
2028-07-31,83.23099893763082
2028-08-31,82.95759642936855
2028-09-30,82.68419392110629
2028-10-31,82.41079141284402
