date,trend,composite
2020-11-09,0.18032786884950283,0.426229508194652
2020-11-16,0.16393442622682075,0.4147540983587745
2020-11-23,0.16393442622682075,0.4147540983587745
2020-11-30,0.16393442622682075,0.4147540983587745
2020-12-07,0.14754098360413867,0.40327868852289706
2020-12-14,0.16393442622682075,0.4147540983587745
2020-12-21,0.08196721311341038,0.35737704917938723
2020-12-28,0.0,0.3
2021-01-04,0.11475409835877452,0.38032786885114217
2021-01-11,0.14754098360413867,0.40327868852289706
2021-01-18,0.18032786884950283,0.426229508194652
2021-01-25,0.16393442622682075,0.4147540983587745
2021-02-01,0.14754098360413867,0.40327868852289706
2021-02-08,0.14754098360413867,0.40327868852289706
2021-02-15,0.14754098360413867,0.40327868852289706
2021-02-22,0.22950819671754905,0.4606557377022843
2021-03-01,0.1967213114721849,0.4377049180305294
2021-03-08,0.22950819671754905,0.4606557377022843
2021-03-15,0.22950819671754905,0.4606557377022843
2021-03-22,0.26229508196291323,0.48360655737403924
2021-03-29,0.213114754094867,0.4491803278664069
2021-04-05,0.16393442622682075,0.4147540983587745
2021-04-12,0.213114754094867,0.4491803278664069
2021-04-19,0.213114754094867,0.4491803278664069
2021-04-26,0.1967213114721849,0.4377049180305294
2021-05-03,0.22950819671754905,0.4606557377022843
2021-05-10,0.213114754094867,0.4491803278664069
2021-05-17,0.1967213114721849,0.4377049180305294
2021-05-24,0.213114754094867,0.4491803278664069
2021-05-31,0.18032786884950283,0.426229508194652
2021-06-07,0.213114754094867,0.4491803278664069
2021-06-14,0.16393442622682075,0.4147540983587745
2021-06-21,0.18032786884950283,0.426229508194652
2021-06-28,0.213114754094867,0.4491803278664069
2021-07-05,0.14754098360413867,0.40327868852289706
2021-07-12,0.213114754094867,0.4491803278664069
2021-07-19,0.22950819671754905,0.4606557377022843
2021-07-26,0.1967213114721849,0.4377049180305294
2021-08-02,0.213114754094867,0.4491803278664069
2021-08-09,0.1967213114721849,0.4377049180305294
2021-08-16,0.18032786884950283,0.426229508194652
2021-08-23,0.16393442622682075,0.4147540983587745
2021-08-30,0.18032786884950283,0.426229508194652
2021-09-06,0.213114754094867,0.4491803278664069
2021-09-13,0.26229508196291323,0.48360655737403924
2021-09-20,0.22950819671754905,0.4606557377022843
2021-09-27,0.22950819671754905,0.4606557377022843
2021-10-04,0.16393442622682075,0.4147540983587745
2021-10-11,0.213114754094867,0.4491803278664069
2021-10-18,0.26229508196291323,0.48360655737403924
2021-10-25,0.2786885245855953,0.4950819672099167
2021-11-01,0.14754098360413867,0.40327868852289706
2021-11-08,0.26229508196291323,0.48360655737403924
2021-11-15,0.31147540983095945,0.5180327868816716
2021-11-22,0.26229508196291323,0.48360655737403924
2021-11-29,0.26229508196291323,0.48360655737403924
2021-12-06,0.26229508196291323,0.48360655737403924
2021-12-13,0.2786885245855953,0.4950819672099167
2021-12-20,0.18032786884950283,0.426229508194652
2021-12-27,0.14754098360413867,0.40327868852289706
2022-01-03,0.4590163934350981,0.6213114754045687
2022-01-10,0.5245901639258265,0.6672131147480784
2022-01-17,0.4754098360577802,0.6327868852404461
2022-01-24,0.6885245901526472,0.781967213106853
2022-01-31,0.5409836065485085,0.678688524583956
2022-02-07,0.6885245901526472,0.781967213106853
2022-02-14,0.8196721311341038,0.8737704917938727
2022-02-21,0.7540983606433754,0.8278688524503628
2022-02-28,0.7213114753980113,0.8049180327786079
2022-03-07,0.7377049180206934,0.8163934426144854
2022-03-14,0.7540983606433754,0.8278688524503628
2022-03-21,0.8032786885114217,0.8622950819579951
2022-03-28,0.9999999999836067,0.9999999999885245
2022-04-04,0.9508196721155604,0.9655737704808922
2022-04-11,0.8852459016248321,0.9196721311373823
2022-04-18,0.9508196721155604,0.9655737704808922
2022-04-25,0.9016393442475141,0.9311475409732599
2022-05-02,0.8032786885114217,0.8622950819579951
2022-05-09,0.9836065573609245,0.9885245901526472
2022-05-16,0.8032786885114217,0.8622950819579951
2022-05-23,0.7704918032660576,0.8393442622862404
2022-05-30,0.7049180327753293,0.7934426229427305
2022-06-06,0.7868852458887396,0.8508196721221177
2022-06-13,0.6721311475299651,0.7704918032709756
2022-06-20,0.8032786885114217,0.8622950819579951
2022-06-27,0.7540983606433754,0.8278688524503628
2022-07-04,0.7540983606433754,0.8278688524503628
2022-07-11,0.8196721311341038,0.8737704917938727
2022-07-18,0.7540983606433754,0.8278688524503628
2022-07-25,0.7868852458887396,0.8508196721221177
2022-08-01,0.7704918032660576,0.8393442622862404
2022-08-08,0.7213114753980113,0.8049180327786079
2022-08-15,0.7049180327753293,0.7934426229427305
2022-08-22,0.8032786885114217,0.8622950819579951
2022-08-29,0.6885245901526472,0.781967213106853
2022-09-05,0.655737704907283,0.7590163934350981
2022-09-12,0.8360655737567858,0.88524590162975
2022-09-19,0.8360655737567858,0.88524590162975
2022-09-26,0.7868852458887396,0.8508196721221177
2022-10-03,0.7213114753980113,0.8049180327786079
2022-10-10,0.8032786885114217,0.8622950819579951
2022-10-17,0.8196721311341038,0.8737704917938727
2022-10-24,0.7704918032660576,0.8393442622862404
2022-10-31,0.7540983606433754,0.8278688524503628
2022-11-07,0.7704918032660576,0.8393442622862404
2022-11-14,0.8360655737567858,0.88524590162975
2022-11-21,0.6885245901526472,0.781967213106853
2022-11-28,0.7540983606433754,0.8278688524503628
2022-12-05,0.7540983606433754,0.8278688524503628
2022-12-12,0.7540983606433754,0.8278688524503628
2022-12-19,0.6885245901526472,0.781967213106853
2022-12-26,0.5573770491711906,0.6901639344198334
