date,forecast
2025-11-10,0.47908044892647295
2025-11-17,0.47929715539542456
2025-11-24,0.4795138618643762
2025-12-01,0.4797305683333279
2025-12-08,0.47994727480227956
2025-12-15,0.48016398127123117
2025-12-22,0.48038068774018283
2025-12-29,0.4805973942091345
2026-01-05,0.4808141006780861
2026-01-12,0.4810308071470378
2026-01-19,0.48124751361598944
2026-01-26,0.4814642200849411
2026-02-02,0.4816809265538927
2026-02-09,0.4818976330228444
2026-02-16,0.48211433949179605
2026-02-23,0.48233104596074766
2026-03-02,0.48254775242969933
2026-03-09,0.482764458898651
2026-03-16,0.4829811653676026
2026-03-23,0.48319787183655427
2026-03-30,0.48341457830550594
2026-04-06,0.4836312847744576
2026-04-13,0.4838479912434092
2026-04-20,0.4840646977123609
2026-04-27,0.48428140418131255
2026-05-04,0.48449811065026416
2026-05-11,0.4847148171192158
2026-05-18,0.4849315235881675
2026-05-25,0.48514823005711916
2026-06-01,0.48536493652607077
2026-06-08,0.48558164299502243
2026-06-15,0.4857983494639741
2026-06-22,0.4860150559329257
2026-06-29,0.4862317624018774
2026-07-06,0.48644846887082904
2026-07-13,0.4866651753397807
2026-07-20,0.4868818818087323
2026-07-27,0.487098588277684
2026-08-03,0.48731529474663565
2026-08-10,0.48753200121558726
2026-08-17,0.48774870768453893
2026-08-24,0.4879654141534906
2026-08-31,0.48818212062244226
2026-09-07,0.4883988270913939
2026-09-14,0.48861553356034554
2026-09-21,0.4888322400292972
2026-09-28,0.4890489464982488
2026-10-05,0.4892656529672005
2026-10-12,0.48948235943615215
2026-10-19,0.48969906590510376
2026-10-26,0.4899157723740554
2026-11-02,0.4901324788430071
2026-11-09,0.49034918531195876
2026-11-16,0.49056589178091037
2026-11-23,0.49078259824986203
2026-11-30,0.4909993047188137
2026-12-07,0.4912160111877653
2026-12-14,0.491432717656717
2026-12-21,0.49164942412566864
2026-12-28,0.4918661305946203
2027-01-04,0.4920828370635719
2027-01-11,0.4922995435325236
2027-01-18,0.49251625000147525
2027-01-25,0.49273295647042686
2027-02-01,0.49294966293937853
2027-02-08,0.4931663694083302
2027-02-15,0.4933830758772818
2027-02-22,0.4935997823462335
2027-03-01,0.49381648881518514
2027-03-08,0.4940331952841368
2027-03-15,0.4942499017530884
2027-03-22,0.4944666082220401
2027-03-29,0.49468331469099175
2027-04-05,0.49490002115994336
2027-04-12,0.495116727628895
2027-04-19,0.4953334340978467
2027-04-26,0.49555014056679836
2027-05-03,0.49576684703574997
2027-05-10,0.49598355350470164
2027-05-17,0.4962002599736533
2027-05-24,0.4964169664426049
2027-05-31,0.4966336729115566
2027-06-07,0.49685037938050824
2027-06-14,0.4970670858494599
2027-06-21,0.4972837923184115
2027-06-28,0.4975004987873632
2027-07-05,0.49771720525631485
2027-07-12,0.49793391172526646
2027-07-19,0.49815061819421813
2027-07-26,0.4983673246631698
2027-08-02,0.49858403113212146
2027-08-09,0.4988007376010731
2027-08-16,0.49901744407002474
2027-08-23,0.4992341505389764
2027-08-30,0.499450857007928
2027-09-06,0.4996675634768797
2027-09-13,0.49988426994583135
2027-09-20,0.500100976414783
2027-09-27,0.5003176828837347
2027-10-04,0.5005343893526862
2027-10-11,0.5007510958216379
2027-10-18,0.5009678022905896
2027-10-25,0.5011845087595412
2027-11-01,0.5014012152284929
2027-11-08,0.5016179216974446
2027-11-15,0.5018346281663962
2027-11-22,0.5020513346353478
2027-11-29,0.5022680411042995
2027-12-06,0.5024847475732511
2027-12-13,0.5027014540422028
2027-12-20,0.5029181605111545
2027-12-27,0.5031348669801061
2028-01-03,0.5033515734490578
2028-01-10,0.5035682799180093
2028-01-17,0.503784986386961
2028-01-24,0.5040016928559127
2028-01-31,0.5042183993248643
2028-02-07,0.504435105793816
2028-02-14,0.5046518122627677
2028-02-21,0.5048685187317193
2028-02-28,0.5050852252006709
2028-03-06,0.5053019316696226
2028-03-13,0.5055186381385742
2028-03-20,0.5057353446075259
2028-03-27,0.5059520510764776
2028-04-03,0.5061687575454292
2028-04-10,0.5063854640143809
2028-04-17,0.5066021704833324
2028-04-24,0.5068188769522841
2028-05-01,0.5070355834212358
2028-05-08,0.5072522898901874
2028-05-15,0.5074689963591391
2028-05-22,0.5076857028280908
2028-05-29,0.5079024092970423
2028-06-05,0.508119115765994
2028-06-12,0.5083358222349457
2028-06-19,0.5085525287038973
2028-06-26,0.508769235172849
2028-07-03,0.5089859416418007
2028-07-10,0.5092026481107523
2028-07-17,0.5094193545797039
2028-07-24,0.5096360610486556
2028-07-31,0.5098527675176072
2028-08-07,0.5100694739865589
2028-08-14,0.5102861804555106
2028-08-21,0.5105028869244622
2028-08-28,0.5107195933934139
2028-09-04,0.5109362998623654
2028-09-11,0.5111530063313171
2028-09-18,0.5113697128002688
2028-09-25,0.5115864192692204
2028-10-02,0.5118031257381721
2028-10-09,0.5120198322071238
2028-10-16,0.5122365386760754
2028-10-23,0.512453245145027
2028-10-30,0.5126699516139787
