date,forecast
2025-11-10,0.30061899125223057
2025-11-17,0.2988065989017408
2025-11-24,0.296994206551251
2025-12-01,0.29518181420076123
2025-12-08,0.2933694218502715
2025-12-15,0.2915570294997817
2025-12-22,0.2897446371492919
2025-12-29,0.28793224479880214
2026-01-05,0.28611985244831234
2026-01-12,0.2843074600978226
2026-01-19,0.2824950677473328
2026-01-26,0.280682675396843
2026-02-02,0.2788702830463532
2026-02-09,0.27705789069586345
2026-02-16,0.27524549834537365
2026-02-23,0.2734331059948839
2026-03-02,0.2716207136443941
2026-03-09,0.2698083212939043
2026-03-16,0.26799592894341456
2026-03-23,0.26618353659292476
2026-03-30,0.26437114424243496
2026-04-06,0.2625587518919452
2026-04-13,0.2607463595414554
2026-04-20,0.2589339671909656
2026-04-27,0.2571215748404759
2026-05-04,0.2553091824899861
2026-05-11,0.2534967901394963
2026-05-18,0.25168439778900653
2026-05-25,0.24987200543851673
2026-06-01,0.24805961308802696
2026-06-08,0.2462472207375372
2026-06-15,0.2444348283870474
2026-06-22,0.24262243603655761
2026-06-29,0.24081004368606784
2026-07-06,0.23899765133557804
2026-07-13,0.23718525898508827
2026-07-20,0.2353728666345985
2026-07-27,0.2335604742841087
2026-08-03,0.23174808193361893
2026-08-10,0.22993568958312915
2026-08-17,0.22812329723263935
2026-08-24,0.22631090488214958
2026-08-31,0.2244985125316598
2026-09-07,0.22268612018117
2026-09-14,0.22087372783068027
2026-09-21,0.21906133548019047
2026-09-28,0.21724894312970067
2026-10-05,0.21543655077921092
2026-10-12,0.21362415842872112
2026-10-19,0.21181176607823135
2026-10-26,0.20999937372774158
2026-11-02,0.20818698137725178
2026-11-09,0.206374589026762
2026-11-16,0.20456219667627223
2026-11-23,0.20274980432578243
2026-11-30,0.20093741197529266
2026-12-07,0.1991250196248029
2026-12-14,0.1973126272743131
2026-12-21,0.19550023492382332
2026-12-28,0.19368784257333355
2027-01-04,0.19187545022284375
2027-01-11,0.19006305787235397
2027-01-18,0.1882506655218642
2027-01-25,0.1864382731713744
2027-02-01,0.18462588082088463
2027-02-08,0.18281348847039486
2027-02-15,0.18100109611990506
2027-02-22,0.17918870376941531
2027-03-01,0.17737631141892551
2027-03-08,0.17556391906843574
2027-03-15,0.17375152671794594
2027-03-22,0.17193913436745617
2027-03-29,0.1701267420169664
2027-04-05,0.1683143496664766
2027-04-12,0.16650195731598683
2027-04-19,0.16468956496549705
2027-04-26,0.16287717261500728
2027-05-03,0.16106478026451748
2027-05-10,0.1592523879140277
2027-05-17,0.15743999556353794
2027-05-24,0.15562760321304814
2027-05-31,0.15381521086255837
2027-06-07,0.1520028185120686
2027-06-14,0.1501904261615788
2027-06-21,0.14837803381108902
2027-06-28,0.14656564146059925
2027-07-05,0.14475324911010945
2027-07-12,0.14294085675961968
2027-07-19,0.1411284644091299
2027-07-26,0.13931607205864013
2027-08-02,0.13750367970815033
2027-08-09,0.13569128735766056
2027-08-16,0.1338788950071708
2027-08-23,0.132066502656681
2027-08-30,0.13025411030619122
2027-09-06,0.12844171795570145
2027-09-13,0.12662932560521165
2027-09-20,0.12481693325472187
2027-09-27,0.1230045409042321
2027-10-04,0.12119214855374233
2027-10-11,0.11937975620325253
2027-10-18,0.11756736385276276
2027-10-25,0.11575497150227299
2027-11-01,0.11394257915178319
2027-11-08,0.11213018680129341
2027-11-15,0.11031779445080364
2027-11-22,0.10850540210031384
2027-11-29,0.10669300974982407
2027-12-06,0.1048806173993343
2027-12-13,0.1030682250488445
2027-12-20,0.10125583269835473
2027-12-27,0.09944344034786495
2028-01-03,0.09763104799737518
2028-01-10,0.09581865564688538
2028-01-17,0.09400626329639561
2028-01-24,0.09219387094590584
2028-01-31,0.09038147859541604
2028-02-07,0.08856908624492627
2028-02-14,0.08675669389443649
2028-02-21,0.0849443015439467
2028-02-28,0.08313190919345692
2028-03-06,0.08131951684296715
2028-03-13,0.07950712449247738
2028-03-20,0.07769473214198758
2028-03-27,0.0758823397914978
2028-04-03,0.07406994744100803
2028-04-10,0.07225755509051823
2028-04-17,0.07044516274002846
2028-04-24,0.06863277038953869
2028-05-01,0.06682037803904889
2028-05-08,0.06500798568855912
2028-05-15,0.06319559333806934
2028-05-22,0.061383200987579545
2028-05-29,0.05957080863708977
2028-06-05,0.0577584162866
2028-06-12,0.05594602393611023
2028-06-19,0.05413363158562043
2028-06-26,0.05232123923513066
2028-07-03,0.05050884688464086
2028-07-10,0.04869645453415111
2028-07-17,0.04688406218366131
2028-07-24,0.04507166983317151
2028-07-31,0.04325927748268177
2028-08-07,0.04144688513219197
2028-08-14,0.03963449278170217
2028-08-21,0.037822100431212424
2028-08-28,0.036009708080722624
2028-09-04,0.034197315730232825
2028-09-11,0.03238492337974308
2028-09-18,0.03057253102925328
2028-09-25,0.02876013867876348
2028-10-02,0.026947746328273736
2028-10-09,0.025135353977783936
2028-10-16,0.023322961627294192
2028-10-23,0.021510569276804392
2028-10-30,0.019698176926314592
