date,trend,composite
2020-11-09,0.6744186046433207,0.7720930232503245
2020-11-16,0.6744186046433207,0.7720930232503245
2020-11-23,0.6860465116199297,0.7802325581339508
2020-11-30,0.6744186046433207,0.7720930232503245
2020-12-07,0.6860465116199297,0.7802325581339508
2020-12-14,0.6627906976667117,0.7639534883666982
2020-12-21,0.5697674418538399,0.6988372092976879
2020-12-28,0.41860465115792317,0.5930232558105462
2021-01-04,0.5930232558070578,0.7151162790649405
2021-01-11,0.6395348837134938,0.7476744185994456
2021-01-18,0.6976744185965387,0.788372093017577
2021-01-25,0.7325581395263656,0.8127906976684558
2021-02-01,0.7209302325497566,0.8046511627848296
2021-02-08,0.6511627906901027,0.7558139534830719
2021-02-15,0.6860465116199297,0.7802325581339508
2021-02-22,0.6860465116199297,0.7802325581339508
2021-03-01,0.7209302325497566,0.8046511627848296
2021-03-08,0.6976744185965387,0.788372093017577
2021-03-15,0.6976744185965387,0.788372093017577
2021-03-22,0.6860465116199297,0.7802325581339508
2021-03-29,0.6511627906901027,0.7558139534830719
2021-04-05,0.6395348837134938,0.7476744185994456
2021-04-12,0.6627906976667117,0.7639534883666982
2021-04-19,0.6744186046433207,0.7720930232503245
2021-04-26,0.6162790697602758,0.731395348832193
2021-05-03,0.5813953488304489,0.7069767441813142
2021-05-10,0.5813953488304489,0.7069767441813142
2021-05-17,0.6511627906901027,0.7558139534830719
2021-05-24,0.6279069767368848,0.7395348837158193
2021-05-31,0.6162790697602758,0.731395348832193
2021-06-07,0.6511627906901027,0.7558139534830719
2021-06-14,0.6627906976667117,0.7639534883666982
2021-06-21,0.6511627906901027,0.7558139534830719
2021-06-28,0.6395348837134938,0.7476744185994456
2021-07-05,0.5930232558070578,0.7151162790649405
2021-07-12,0.6395348837134938,0.7476744185994456
2021-07-19,0.6395348837134938,0.7476744185994456
2021-07-26,0.5697674418538399,0.6988372092976879
2021-08-02,0.5581395348772309,0.6906976744140616
2021-08-09,0.5465116279006219,0.6825581395304353
2021-08-16,0.5813953488304489,0.7069767441813142
2021-08-23,0.5581395348772309,0.6906976744140616
2021-08-30,0.5813953488304489,0.7069767441813142
2021-09-06,0.6046511627836668,0.7232558139485668
2021-09-13,0.6395348837134938,0.7476744185994456
